apartment_id,region,quality_class,area_m2,rooms,work_category,work_name,unit,quantity,unit_price,line_cost
1,Регион,Стандарт,65.6,3,Демонтаж,Демонтаж обоев,м2,175.0,71.1,12442.5
1,Регион,Стандарт,65.6,3,Демонтаж,Демонтаж стяжки,м2,47.6,255.51,12162.28
1,Регион,Стандарт,65.6,3,Стены,Штукатурка стен по маякам,м2,161.4,457.71,73874.39
1,Регион,Стандарт,65.6,3,Стены,Шпаклёвка стен,м2,137.7,248.04,34155.11
1,Регион,Стандарт,65.6,3,Стены,Грунтовка стен,м2,144.5,45.94,6638.33
1,Регион,Стандарт,65.6,3,Стены,Возведение перегородки ГКЛ,м2,4.1,629.79,2582.14
1,Регион,Стандарт,65.6,3,Стены,Покраска стен,м2,129.9,283.16,36782.48
1,Регион,Стандарт,65.6,3,Стены,Укладка плитки на стену,м2,149.1,1449.43,216110.01
1,Регион,Стандарт,65.6,3,Пол,Наливной пол,м2,45.0,414.78,18665.1
1,Регион,Стандарт,65.6,3,Пол,Укладка ламината,м2,37.1,322.72,11972.91
1,Регион,Стандарт,65.6,3,Пол,Укладка плитки на пол,м2,54.8,1092.24,59854.75
1,Регион,Стандарт,65.6,3,Потолок,Натяжной потолок,м2,60.1,439.08,26388.71
1,Регион,Стандарт,65.6,3,Потолок,Покраска потолка,м2,55.2,239.29,13208.81
1,Регион,Стандарт,65.6,3,Электрика,Штробление под проводку,мп,26.0,235.59,6125.34
1,Регион,Стандарт,65.6,3,Электрика,Монтаж розеток/выключателей,шт,26.0,235.98,6135.48
1,Регион,Стандарт,65.6,3,Электрика,Сборка электрощита,шт,2.0,4552.99,9105.98
1,Регион,Стандарт,65.6,3,Сантехника,Разводка труб (точка),точка,26.0,1788.27,46495.02
1,Регион,Стандарт,65.6,3,Сантехника,Установка смесителя,шт,2.0,988.78,1977.56
1,Регион,Стандарт,65.6,3,Двери,Монтаж откосов,мп,3.2,594.91,1903.71
2,Санкт-Петербург,Эконом,46.6,2,Демонтаж,Демонтаж обоев,м2,81.4,92.58,7536.01
2,Санкт-Петербург,Эконом,46.6,2,Стены,Штукатурка стен по маякам,м2,114.1,503.17,57411.7
2,Санкт-Петербург,Эконом,46.6,2,Стены,Шпаклёвка стен,м2,68.6,298.13,20451.72
2,Санкт-Петербург,Эконом,46.6,2,Стены,Грунтовка стен,м2,73.1,57.67,4215.68
2,Санкт-Петербург,Эконом,46.6,2,Стены,Возведение перегородки ГКЛ,м2,2.4,841.36,2019.26
2,Санкт-Петербург,Эконом,46.6,2,Стены,Поклейка обоев,м2,81.9,380.95,31199.8
2,Санкт-Петербург,Эконом,46.6,2,Стены,Покраска стен,м2,68.4,294.37,20134.91
2,Санкт-Петербург,Эконом,46.6,2,Пол,Укладка ламината,м2,45.9,416.88,19134.79
2,Санкт-Петербург,Эконом,46.6,2,Пол,Установка плинтуса,мп,29.6,218.25,6460.2
2,Санкт-Петербург,Эконом,46.6,2,Потолок,Натяжной потолок,м2,28.0,551.44,15440.32
2,Санкт-Петербург,Эконом,46.6,2,Потолок,Покраска потолка,м2,43.3,290.08,12560.46
2,Санкт-Петербург,Эконом,46.6,2,Электрика,Прокладка кабеля,мп,20.0,115.45,2309.0
2,Санкт-Петербург,Эконом,46.6,2,Электрика,Монтаж розеток/выключателей,шт,20.0,328.05,6561.0
2,Санкт-Петербург,Эконом,46.6,2,Электрика,Монтаж светильников,шт,2.0,588.81,1177.62
2,Санкт-Петербург,Эконом,46.6,2,Электрика,Сборка электрощита,шт,1.0,5969.27,5969.27
