work_raw,unit_raw,price,region,source
Удаление старых обоев,м2,120.0,Москва,https://titanremont.ru/price
Размывка извести,м2,150.0,Москва,https://titanremont.ru/price
"Зачистка от мела, масляной краски",м2,200.0,Москва,https://titanremont.ru/price
"Очистка от шпаклевки, водоэмульсионки",м2,180.0,Москва,https://titanremont.ru/price
Удаление штукатурки,м2,300.0,Москва,https://titanremont.ru/price
Очистка потолка от клеевой мастики,м2,250.0,Москва,https://titanremont.ru/price
Размывка олифы,м2,250.0,Москва,https://titanremont.ru/price
Разбивка рустов,мп,200.0,Москва,https://titanremont.ru/price
Демонтаж подвесного потолка,м2,200.0,Москва,https://titanremont.ru/price
Демонтаж потолочного плинтуса,мп,100.0,Москва,https://titanremont.ru/price
Демонтаж реечного потолка,м2,150.0,Москва,https://titanremont.ru/price
Демонтаж лепнины,мп,100.0,Москва,https://titanremont.ru/price
"Разборка потолка ""Armstrong""",м2,100.0,Москва,https://titanremont.ru/price
Разборка потолка из ГКЛ 1 уровневый,м2,120.0,Москва,https://titanremont.ru/price
Разборка потолка из ГКЛ 2 уровневый,м2,170.0,Москва,https://titanremont.ru/price
Разборка потолка из ГКЛ 3 уровневый,м2,220.0,Москва,https://titanremont.ru/price
"Разборка ПВХ ,МДФ панелей с потолка",м2,200.0,Москва,https://titanremont.ru/price
Грунтовка плит перекрытия (бетоконтакт или грунт),м2,100.0,Москва,https://titanremont.ru/price
Проклейка штукатурной сетки,м2,100.0,Москва,https://titanremont.ru/price
Выравнивание потолка ротбандом,м2,320.0,Москва,https://titanremont.ru/price
Выравнивание потолка ротбандом по маякам до 3см,м2,360.0,Москва,https://titanremont.ru/price
Обеспыливание потолка,м2,100.0,Москва,https://titanremont.ru/price
Шпаклевка потолка на 2 слоя (базовая),м2,360.0,Москва,https://titanremont.ru/price
Проклейка стеклохолста или паутинки,м2,120.0,Москва,https://titanremont.ru/price
Ошкуривание потолка,м2,120.0,Москва,https://titanremont.ru/price
Финишная шпаклевка потолка (прохождение швов),м2,120.0,Москва,https://titanremont.ru/price
Шпатлевка поверхности менее 30см,мп,480.0,Москва,https://titanremont.ru/price
Окраска потолка водоэмульсионной краской на 2 слоя в один цвет,м2,240.0,Москва,https://titanremont.ru/price
Окраска поверхности менее 30см,м2,240.0,Москва,https://titanremont.ru/price
Расшивка и заделка трещин на потолке (силикон),мп,160.0,Москва,https://titanremont.ru/price
Штукатурка стен ротбандом по маякам до 3 см,м2,360.0,Москва,https://titanremont.ru/price
Монтаж реечного потолка по прямой,м2,480.0,Москва,https://titanremont.ru/price
Монтаж реечного потолка по диагонали,м2,560.0,Москва,https://titanremont.ru/price
Монтаж потолочного плинтуса до 5см,мп,250.0,Москва,https://titanremont.ru/price
Шпаклевка швов и окраска потолочного плинтуса до 5см,мп,250.0,Москва,https://titanremont.ru/price
Устройство молдингов,мп,600.0,Москва,https://titanremont.ru/price
"Устройство подвисного потолка ""Армстронг""",м2,600.0,Москва,https://titanremont.ru/price
"Демонтаж линолеума, ковролина",м2,100.0,Москва,https://titanremont.ru/price
"Демонтаж паркета, ламината",м2,120.0,Москва,https://titanremont.ru/price
Демонтаж лаг,м2,100.0,Москва,https://titanremont.ru/price
Демонтаж плинтуса,мп,80.0,Москва,https://titanremont.ru/price
Демонтаж бетонного плинтуса,мп,300.0,Москва,https://titanremont.ru/price
Демонтаж штучного паркета без сохранения,м2,180.0,Москва,https://titanremont.ru/price
Демонтаж деревянного пола,м2,180.0,Москва,https://titanremont.ru/price
"Демонтаж фанеры, ДВП, ДСП",м2,100.0,Москва,https://titanremont.ru/price
Демонтаж старой стяжки пола до 50 мм,м2,200.0,Москва,https://titanremont.ru/price
Демонтаж старой стяжки пола до 70 мм,м2,250.0,Москва,https://titanremont.ru/price
Демонтаж старой стяжки пола до 100 мм,м2,300.0,Москва,https://titanremont.ru/price
Сбивка бетонного порога,компл,1500.0,Москва,https://titanremont.ru/price
Демонтаж пола под сантехкабиной в типовых домах,компл,6000.0,Москва,https://titanremont.ru/price
Механическая очистка пола,м2,160.0,Москва,https://titanremont.ru/price
Грунтование плит перекрытия,м2,100.0,Москва,https://titanremont.ru/price
Монтаж деформационной ленты на разрыв бетона,мп,100.0,Москва,https://titanremont.ru/price
Засыпка керамзитом или керамзитной крошкой (до10см),м2,260.0,Москва,https://titanremont.ru/price
Заливка полов по маякам песко-цементной стяжкой 5-10 см,м2,450.0,Москва,https://titanremont.ru/price
