text,star_width,rating
"Позвонил в эту бригаду по совету друга. Приехал прораб, всё осмотрел, не стал ничего приукрашивать: честно сказал, где надо менять стяжку, где перекладывать трубы и как лучше организовать вентиляцию, чтобы сырость больше не возвращалась. Понравилось, что не пытались «впарить» лишние работы — наоборот, подсказали, как сэкономить без потери качества: например, часть материалов взяли из другой партии по скидке, а некоторые элементы отделки скомбинировали так, что вышло даже стильнее, чем в изначальном эскизе.",65,5.0
"связались с сыном марии в профи, он перевел на марию, она очень хороший прораб сделала нам внутреннюю отделку в частном доме, всем советую!!!!",65,5.0
"Если Вы обслуживались у этой особи, проверьте, какие детали стоят в данный момент на вашей лодке и не подменил ли вам этот тип навесное оборудование, как делает это на других лодках.",13,1.0
"Бестолковые работники, перерасход по материалам, постоянно курят, отсутствие аккуратности в работе, после аванса приходили в нетрезвом состоянии. Солевые",13,1.0
"Предупреждение о строителях, которые находятся в черном списке, если вы или ваши знакомые вдруг обратились к данным субъектам, ни в коем случае не заключайте с ними договор и не имейте никаких дел. Основная схема - получение аванса и больше вы их не увидите. В отдельных случаях они выполняют часть работ, причем очень криво и косо, получают несколько оплат и также пропадают. Договор заключается от имени Гордеева Александра Михайловича, 29.04.1989, но он себя обанкротил, поэтому через суд и тд никто ничего не докажет и не получит. Работает в схеме с сожителем - Назарова Ксения Юрьевна, 10.05.1993. А также 5 рабочих цыган.",13,1.0
"Белое облако делали мне ремонт и натяжные потолки. Коммуникации были готовы от застройщика, поэтому ""ограничились"" отделкой, выравниванием, укладкой плитки, утеплением и шумоизоляцией. Вообщем, желаний было много и хотелось качество и комфорт в итоге. Естественно, привлекли дизайнера. И сравнительно на небольшой площади квартиры получилось все очень функционально распределено.",65,5.0
"Заказывали ремонт в нашем офисе. На этапе согласования объема работ, сметы и сроков отметил четкость: заплатили столько, сколько и оговаривалось, никакой доп. стоимости. Сами работы были организованы должным образом Завершили в срок. Доработки не потребовались. Все получилось аккуратно и качественно. Прямой контакт был не только с менеджером, но и с прорабом, была возможность быть включенными в все процессы стройки.",65,5.0
"4 января 2026 года взял деньги по договору на ремонт квартиры в сумме 400 тыс руб. На сегодня подаем иск в суд. К ремонту не приступал, денег не возвращает. Вот так просто, взял деньги и все! Я Наталья, москвичка, офицер в отставке, 58 лет. Наш сосед, который делал ремонт с Шитовым, также собирается судиться из-за жуткого ремонта, который получил. Шитов бравирует, что у него ничего нет, все записано на мать, с него нечего взять. Молодой хам! Имейте ввиду, за ваши деньги над вами же будет издеваться! Почитайте также отрицательные отзывы о Шитове на сайте You do.",13,1.0
"Меня зовут Наталья, 58 лет, москвичка, офицер в отставке. 4 января 2026 заключила договор о проведении ремонтных работ в квартире, оплатила 400 тыс руб Шитову Владиславу. 15 января отказались от ремонта по финансовым причинам, попросили вернуть деньги, тем более ремонт не начинался. Три месяца нам врал, что вернет. На сегодняшний день было заявление в полицию и направлена досудебная претензия нехорошему товарищу. Реакция - ноль. Подаем в суд. Наш сосед, у которого Шитов делал ремонт, и, который нам его порекомендовал, тоже будет судиться по другой причине - отвратительное качество ремонта. Держитесь подальше от вора, мошенника и бракодела! Шитов Владислав Олегович, 32 года. Обходите его стороной! Почитайте также отрицательные отзывы на сайте YouDo, там есть его страничка.",13,1.0
"Делали натяжные потолки в детскую и спальню. Технолог Лилия приехала, замерила всё, подобрала фактуру. Монтажники работали аккуратно, пыли практически не было. Цена не изменилась от первоначальной, что порадовало. Я очень довольна, никаких лишних хлопот.",65,5.0
